4.364: [GC 29665K->8779K(4020224K), 0.0004607 secs]
4.364: [Full GC 8779K->8739K(4020224K), 0.0153001 secs]
4.383: [GC 29721K->19162K(4020224K), 0.0018150 secs]
4.385: [Full GC 19162K->8686K(4020224K), 0.0145100 secs]
4.400: [GC 29668K->8750K(4020224K), 0.0006617 secs]
4.401: [Full GC 8750K->8733K(4020224K), 0.0156608 secs]
4.421: [GC 29715K->19133K(4020224K), 0.0017003 secs]
4.422: [Full GC 19133K->8701K(4020224K), 0.0149127 secs]
4.438: [GC 29683K->8861K(4020224K), 0.0004871 secs]
4.439: [Full GC 8861K->8780K(4020224K), 0.0155769 secs]
4.459: [GC 29762K->19148K(4020224K), 0.0031105 secs]
4.462: [Full GC 19148K->8701K(4020224K), 0.0191096 secs]
4.482: [GC 29683K->8765K(4020224K), 0.0004694 secs]
4.482: [Full GC 8765K->8735K(4020224K), 0.0158121 secs]
4.502: [GC 29716K->19103K(4020224K), 0.0015543 secs]
4.503: [Full GC 19103K->8700K(4020224K), 0.0153389 secs]
4.519: [GC 29682K->8764K(4020224K), 0.0004713 secs]
4.520: [Full GC 8764K->8756K(4020224K), 0.0150873 secs]
4.539: [GC 29738K->19144K(4020224K), 0.0024559 secs]
4.542: [Full GC 19144K->8708K(4020224K), 0.0228833 secs]
4.565: [GC 29690K->8772K(4020224K), 0.0004940 secs]
4.566: [Full GC 8772K->8744K(4020224K), 0.0168121 secs]
4.588: [GC 29726K->19112K(4020224K), 0.0018022 secs]
4.590: [Full GC 19112K->8726K(4020224K), 0.0241990 secs]
4.614: [GC 29708K->8790K(4020224K), 0.0098182 secs]
4.624: [Full GC 8790K->8757K(4020224K), 0.0177566 secs]
4.646: [GC 29739K->19125K(4020224K), 0.0016335 secs]
4.647: [Full GC 19125K->8724K(4020224K), 0.0266173 secs]
4.675: [GC 29706K->8788K(4020224K), 0.0106229 secs]
4.685: [Full GC 8788K->8761K(4020224K), 0.0171678 secs]
4.706: [GC 29742K->19161K(4020224K), 0.0016786 secs]
4.708: [Full GC 19161K->8727K(4020224K), 0.0158556 secs]
4.725: [GC 29709K->8791K(4020224K), 0.0004965 secs]
4.726: [Full GC 8791K->8764K(4020224K), 0.0152923 secs]
4.745: [GC 29745K->14012K(4020224K), 0.0029390 secs]
4.748: [Full GC 14012K->8733K(4020224K), 0.0353556 secs]
4.786: [GC 29715K->8893K(4020224K), 0.0005036 secs]
